ID,Name,Acronym,YearsListed,dblp_venue,mta_class
1426,International Symposium on Theoretical Aspects of Computer Science,STACS,"CORE2008_A, ERA2010_B, CORE2013_B, CORE2014_B, CORE2017_B, CORE2018_A, CORE2020_A, CORE2021_A, CORE2023_A",conf/stacs,3
1398,International Symposium on Mathematical Foundations of Computer Science,MFCS,"CORE2008_B, ERA2010_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A, CORE2020_A, CORE2021_A, CORE2023_A",conf/mfcs,3
1484,International Workshop on Graph-Theoretic Concepts in Computer Science,WG,"CORE2008_B, ERA2010_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A, CORE2020_A, CORE2021_A, CORE2023_B",conf/wg,3
1451,International Workshop on Approximation Algorithms for Combinatorial Optimization Problems and International Conference on Randomization and Computation,APPROX/RANDOM,"CORE2008_A, ERA2010_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A, CORE2020_A, CORE2021_A, CORE2023_A",conf/approx,3
1349,International Symposium on Algorithms and Computation,ISAAC;SYMSACC;SYMSAC,"CORE2008_A, ERA2010_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A, CORE2020_A, CORE2021_A, CORE2023_A",conf/isaac,3
1221,"International Conference on Software Testing, Verification and Validation",ICST,"ERA2010_C, CORE2013_C, CORE2014_C, CORE2017_C, CORE2018_A, CORE2020_A, CORE2021_A, CORE2023_A",conf/icst,6
1244,"International Conference on Model Driven Engineering Languages and Systems (Previously UML, changed in 2005)",MODELS,"CORE2008_A, ERA2010_B, CORE2013_B, CORE2014_B, CORE2017_B, CORE2018_A, CORE2020_A, CORE2021_A, CORE2023_A",conf/models,6
1894,Workshop on Cryptographic Hardware and Embedded Systems,CHES,"CORE2008_B, ERA2010_C, CORE2013_C, CORE2014_C, CORE2017_C, CORE2018_A, CORE2020_A, CORE2021_A, CORE2023_A",conf/ches,6
711,IEEE International Working Conference on Mining Software Repositories,MSR,"ERA2010_C, CORE2013_C, CORE2014_C, CORE2017_C, CORE2018_A, CORE2020_A, CORE2021_A, CORE2023_A",conf/msr,6
1412,International Symposium on Software Testing and Analysis,ISSTA,"CORE2008_A, ERA2010_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A, CORE2020_A, CORE2021_A, CORE2023_A",conf/issta,6
676,"IEEE International Conference on Software Maintenance and Evolution (prior to 2014 was ICSM, IEEE International Conference on Software Maintenance)",ICSME,"CORE2008_A, ERA2010_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A, CORE2020_A, CORE2021_A, CORE2023_A",conf/icsm,6
2165,European Conference on Software Architecture,ECSA,"CORE2014_A, CORE2017_A, CORE2018_A, CORE2020_A, CORE2021_A, CORE2023_A",conf/ecsa,6
599,IEEE Computer Security Foundations Symposium (was CSFW),CSF,"ERA2010_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A, CORE2020_A, CORE2021_A, CORE2023_A",conf/csfw,3
1815,Theory of Cryptography Conference,TCC,"ERA2010_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A, CORE2020_A, CORE2021_A, CORE2023_A",conf/tcc,3
1411,International Symposium on Software Reliability Engineering,ISSRE,"CORE2008_A, ERA2010_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A, CORE2020_A, CORE2021_A, CORE2023_A",conf/issre,6
1376,International Symposium on Empirical Software Engineering and Measurement,ESEM,"CORE2008_A, ERA2010_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A, CORE2020_A, CORE2021_A, CORE2023_A",conf/esem,6
1022,International Conference on Evaluation and Assessment in Software Engineering,EASE,"CORE2008_A, ERA2010_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A, CORE2020_A, CORE2021_A, CORE2023_A",conf/ease,6
497,International Conference on Embedded Wireless Systems and Networks (wasEuropean Conference on Wireless Sensor Networks),EWSN,"CORE2008_A, ERA2010_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A, CORE2020_A, CORE2021_B, CORE2023_B",conf/ewsn,6
952,International Conference on Computational Science,ICCS,"CORE2008_A, ERA2010_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A, CORE2020_A, CORE2021_A",conf/iccS,3
1167,International Conference on Parallel Processing,ICPP,"CORE2008_A, ERA2010_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A, CORE2020_A, CORE2021_A, CORE2023_B",conf/icpp,6
691,"IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks",WoWMoM,"CORE2008_A, ERA2010_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A, CORE2020_A, CORE2021_B, CORE2023_B",conf/wowmom,6
483,European Conference on Information Retrieval,ECIR,"CORE2008_B, ERA2010_B, CORE2013_B, CORE2014_B, CORE2017_B, CORE2018_A, CORE2020_A, CORE2021_A, CORE2023_A",conf/ecir,6
22,ACM International Conference on Advances in Geographic Information Systems,SIGSPATIAL,"ERA2010_B, CORE2013_B, CORE2014_B, CORE2017_B, CORE2018_A, CORE2021_A, CORE2023_A",conf/gis,6
25,ACM International Conference on Information and Knowledge Management,CIKM,"CORE2008_A, ERA2010_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A, CORE2020_A, CORE2021_A, CORE2023_A",conf/cikm,6
1416,International Symposium on Spatial and Temporal Databases,SSTD,"CORE2008_A, ERA2010_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A, CORE2020_A, CORE2021_B, CORE2023_B",conf/ssd,6
